word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
coucher,73.577,27.943,26,37.269,37.298,26,0-100_VAS
coude,88.2,16.222,26,20.72,31.302,26,0-100_VAS
couffin,15.8,24.89,26,16.259,27.777,27,0-100_VAS
couleur,84.5,22.112,23,13.958,24.153,23,0-100_VAS
couleuvre,70.739,34.267,23,22.391,31.716,23,0-100_VAS
coupe,71.276,29.259,28,30.393,31.024,28,0-100_VAS
couple,79.429,25.111,26,37.462,38.689,26,0-100_VAS
couplet,43.217,33.313,24,49.87,43.531,24,0-100_VAS
coupon,79.417,19.838,26,28.308,36.706,26,0-100_VAS
coupure,65.077,29.733,24,25.667,33.281,24,0-100_VAS
courage,48.091,34.379,24,40.826,37.629,24,0-100_VAS
courbature,61.68,31.821,26,27.154,29.857,26,0-100_VAS
courbure,57.84,32.896,26,20.538,27.48,27,0-100_VAS
courgette,74,26.51,28,23.286,30.487,28,0-100_VAS
couronne,79.84,23.165,24,12.043,20.921,24,0-100_VAS
courroie,72.5,23.315,26,30.885,35.887,27,0-100_VAS
cousin,78.56,29.476,24,38.6,36.989,25,0-100_VAS
couteau,85.5,18.72,25,38.115,33.043,27,0-100_VAS
coutume,62.435,30.511,24,34.435,34.82,24,0-100_VAS
couture,76.087,27.129,23,44.273,35.376,23,0-100_VAS
couturier,62.8,33.418,26,34.852,34.346,27,0-100_VAS
couvent,70.964,33.016,28,29.185,29.811,28,0-100_VAS
couvercle,84.16,19.574,23,49.522,31.149,23,0-100_VAS
couvert,59.348,36.555,24,16.174,23.56,24,0-100_VAS
coyote,65,28.947,25,44.741,38.957,27,0-100_VAS
coïncidence,37.793,37.713,28,33.964,32.768,28,0-100_VAS
coût,60.227,36.86,23,29.524,32.434,23,0-100_VAS
crabe,90.75,11.559,28,37.071,34.135,28,0-100_VAS
crainte,47.179,31.352,28,45.414,34.558,28,0-100_VAS
crampon,74.92,22.247,24,47.609,31.341,24,0-100_VAS
crapaud,86.462,21.53,26,60.769,35.419,26,0-100_VAS
craque,61.087,38.24,24,40.304,38.285,24,0-100_VAS
craquement,37.4,32.228,24,76.333,27.374,25,0-100_VAS
cratère,69.04,26.307,26,12.074,23.436,27,0-100_VAS
cravate,86.6,22.802,24,22.739,27.178,24,0-100_VAS
crayon,85.778,17.014,25,30.333,34.332,26,0-100_VAS
crevaison,81.125,15.462,23,44.542,31.824,23,0-100_VAS
crevasse,78.455,25.205,24,12.286,17.419,24,0-100_VAS
crevette,87.84,19.817,26,14.962,30.031,26,0-100_VAS
crevé,60.2,33.87,24,29.44,32.555,25,0-100_VAS
crinière,80.08,26.785,24,21.24,28.629,25,0-100_VAS
critique,42.417,35.699,24,52.167,40.25,24,0-100_VAS
critère,39.08,39.712,26,21.077,29.922,26,0-100_VAS
croc,59.966,31.957,28,32.185,35.472,28,0-100_VAS
